"location_name","vlife","IncomeGroup"
"Tabasco",45.5838363435345,NA
"Tamaulipas",45.7933129183792,NA
"Tlaxcala",82.6367596540943,NA
"Veracruz de Ignacio de la Llave",38.5891978536672,NA
"Yucatán",39.1591957546882,NA
"Zacatecas",51.0756701318581,NA
"England",40.3331350426804,NA
"Acre",23.9512911680282,NA
"Alagoas",16.6626710619741,NA
"Amazonas",47.7276483848646,NA
"Amapá",25.8973125916069,NA
"Bahia",16.7162669432255,NA
"Ceará",24.1213616005828,NA
"Distrito Federal",31.2348611472441,NA
"Espírito Santo",31.1624353521465,NA
"Goiás",26.1170680058647,NA
"Maranhão",16.1526898393901,NA
"Minas Gerais",17.9540554551969,NA
"Mato Grosso do Sul",24.4031991357865,NA
"Mato Grosso",34.948386357189,NA
"Pará",20.2325571702531,NA
"Paraíba",21.2474974066051,NA
"Paraná",22.7432639816655,NA
"Pernambuco",21.0607495255488,NA
"Piaui",17.7027308445374,NA
"Rio de Janeiro",32.1746424453991,NA
"Rio Grande do Norte",19.2948777579698,NA
"Rondônia",39.5750279651087,NA
"Roraima",37.6267242596704,NA
"Rio Grande do Sul",25.9785675815399,NA
"Santa Catarina",23.3809746256973,NA
"Sergipe",23.7319815177751,NA
"São Paulo",23.7389040477428,NA
"Tocantins",23.6366842181887,NA
"Andhra Pradesh",16.9474491187046,NA
"Arunachal Pradesh",7.83441186983485,NA
"Assam",6.9497790686183,NA
"Bihar",7.72102103271884,NA
"Chhattisgarh",48.1980629570149,NA
"Delhi",19.3201933061572,NA
"Goa",33.390487912311,NA
"Gujarat",9.10976148360389,NA
"Haryana",14.8462022386353,NA
"Himachal Pradesh",12.0177232020125,NA
"Jammu & Kashmir and Ladakh",15.872327471466,NA
"Jharkhand",6.27262165562436,NA
"Karnataka",14.248323969023,NA
"Kerala",7.00279445919369,NA
"Madhya Pradesh",12.1303750481091,NA
"Maharashtra",21.8617242899575,NA
"Manipur",39.5554747316873,NA
"Meghalaya",3.56443244407345,NA
"Nagaland",23.187190341751,NA
"Odisha",8.35508836326883,NA
"Punjab",18.4982712022795,NA
"Rajasthan",6.59431531212311,NA
"Tamil Nadu",12.2189027476371,NA
"Telangana",6.67071210167971,NA
"Tripura",19.5302734644949,NA
"Uttar Pradesh",10.0001310546519,NA
"Uttarakhand",22.917283035715,NA
"West Bengal",14.5550402182814,NA
"Piemonte",41.4122426673286,NA
"Valle d'Aosta",55.0414293119034,NA
"Liguria",40.9962631994028,NA
"Lombardia",45.1198422972985,NA
"Provincia autonoma di Bolzano",36.7754872251832,NA
"Provincia autonoma di Trento",38.7739272119971,NA
"Veneto",33.1068796971712,NA
"Friuli-Venezia Giulia",41.1433132559959,NA
"Emilia-Romagna",37.0719993993705,NA
"Toscana",24.2127568298724,NA
"Umbria",27.3331029676157,NA
"Marche",24.872644164549,NA
"Lazio",21.4034179750139,NA
"Abruzzo",22.974542765487,NA
"Molise",35.6469263413187,NA
"Campania",19.3408136504624,NA
"Puglia",21.1577967959636,NA
"Basilicata",18.7755009469121,NA
"Calabria",11.8168118485745,NA
"Sicilia",23.6310780444162,NA
"Sardegna",24.5711289529003,NA
"Alberta",14.7370811689922,NA
"British Columbia",11.2410201540105,NA
"Manitoba",23.8803962508833,NA
"Nova Scotia",3.55756975838561,NA
"Ontario",13.4136328401745,NA
"Quebec",25.6431027606551,NA
"Saskatchewan",16.366691577189,NA
"Azad Jammu & Kashmir",21.8072590622312,NA
"Balochistan",7.93567738839107,NA
"Gilgit-Baltistan",14.269795839334,NA
"Islamabad Capital Territory",12.7924365378984,NA
"Khyber Pakhtunkhwa",17.0852986989611,NA
"Punjab",15.0003347319106,NA
"Sindh",16.9818944432747,NA
"Andalucia",35.8046908160849,NA
"Aragon",62.6179005690361,NA
"Cantabria",30.0811100097381,NA
"Castilla-La Mancha",67.6071965508042,NA
"Community of Madrid",59.7633527914108,NA
"Extremadura",43.0069276454461,NA
"Balearic Islands",22.7178525107692,NA
"Canary Islands",14.3402302165605,NA
"Asturias",44.1961321187898,NA
"Murcia",32.9040473837987,NA
"Castile and León",58.485463721692,NA
"Catalonia",65.0795961159605,NA
"Navarre",47.2695492325439,NA
"Valencian Community",38.3632675984492,NA
"Galicia",26.0918846467752,NA
"Basque Country",44.3541742121173,NA
"La Rioja",55.7152695825936,NA
"Baden-Württemberg",19.286920744469,NA
"Bavaria",23.7200196392329,NA
"Berlin",21.9699154178656,NA
"Brandenburg",29.6698960899469,NA
"Bremen",16.1220920425816,NA
"Hamburg",19.1017237853666,NA
"Hesse",24.7557414752557,NA
"Lower Saxony",18.3055692361172,NA
"Mecklenburg-Vorpommern",13.3585951921106,NA
"North Rhine-Westphalia",20.7944946611641,NA
"Rhineland-Palatinate",19.6849552235287,NA
"Saarland",22.943822239526,NA
"Saxony-Anhalt",26.6966552631767,NA
"Saxony",44.4665724974372,NA
"Schleswig-Holstein",13.2784286961868,NA
"Thuringia",33.2773390934248,NA
